"ID","Status","Project","Website","Product","Short_Name","Description","Access","Documentation","Version","DOI","Variables","Start","End","Region","Polygon","Released","Theme1","Theme2","Theme3","Theme4","Theme5","Theme6","EO_Missions"
11,"ONGOING","ConsIstent Retrieval of Cloud Aerosol Surface","http://www.circas.eu/","Cloud and aerosol products_Regional_S3A/SLSTR","cloud-aerosol-circas","Atmospheric products (cloud and aerosol) derived from S3A/SLSTR observations retrieved using the same radiative transfer physics and assumptions.The retrieval is based on the CISAR (Combined Inversion of Surface and Atmosphere pRoperties) algorithm. The spatial resolution of the CIRCAS user products is 5km. The CIRCAS products are delivered in NetCDF-4 format. The NetCDF files specification follows the CF conventions [NetCDF, 2010].","ftp.brockmann-consult.de","http://www.circas.eu/index.php#results",,,"Aerosol Optical Depth","2019.01.01","2019.12.31","Regional","[[[[-100.12656677881236,35.890702742676055],[-87.55435513523395,35.890702742676055],[-87.55435513523395,48.32475821434702],[-100.12656677881236,48.32475821434702],[-100.12656677881236,35.890702742676055]]],[[[1.3928929844456683,40.21976995463572],[13.965104628024013,40.21976995463572],[13.965104628024013,52.65382542630668],[1.3928929844456683,52.65382542630668],[1.3928929844456683,40.21976995463572]]],[[[-1.4861129301941927,2.554212537672809],[11.086098713384182,2.554212537672809],[11.086098713384182,14.988268009343775],[-1.4861129301941927,14.988268009343775],[-1.4861129301941927,2.554212537672809]]],[[[126.60269122612661,-18.534809759669432],[139.17490286970542,-18.534809759669432],[139.17490286970542,-6.1007542879985275],[126.60269122612661,-6.1007542879985275],[126.60269122612661,-18.534809759669432]]],[[[-68.39472586082537,-21.812762728977],[-55.8225142172473,-21.812762728977],[-55.8225142172473,-9.37870725730608],[-68.39472586082537,-9.378707257306088],[-68.39472586082537,-21.812762728977]]],[[[123.1055724631456,55.13148371889387],[135.6777841067242,55.13148371889387],[135.6777841067242,67.56553919056476],[123.1055724631456,67.56553919056476],[123.1055724631456,55.13148371889387]]]]","2021.12.31","Atmosphere",,,,,,"Sentinel-3"
12,"ONGOING","SMOS+ Rainfall Land","https://www.esasmosrainfall.org","GPM+SM2RAIN Rainfall product_v1.0_daily_0.25_quasi-global","rainfall-gpm-sm2rain-0.25-v1-global-smos-rainfall","Rainfall dataset based on the integration of IMERG Early Run of the Global Precipitation Measurement Mission (GPM) with SM2RAIN-based rainfall estimates derived from ASCAT, SMOS and SMAP L3 soil moisture Rainfall dataset based on the integration of IMERG-LR of the Global Precipitation Measurement Mission (GPM) with SM2RAIN-based rainfall estimates derived from ASCAT H113 H-SAF , SMOS L3 and SMAP L3 soil moisture products. The dataset is available +/-60 ° (2007-2018). More details on the grid and data can be found in the netCDF file. The quality flag provided with the dataset has been used to mask out low quality data, as well as the areas characterised by complex topographic, frozen soil, and presence of tropical forests.","https://doi.org/10.5281/zenodo.3854817","https://hess.copernicus.org/articles/24/2687/2020/","1.0","https://doi.org/10.5281/zenodo.3854817","Precipitation type at the surface","2007.01.01","2018.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2020.05.26","Land",,,,,,"ASCAT; SMOS; SMAP"
13,"COMPLETED","VAD3EMECUM. Vegetation and drought: towards improved data-driven estimated of ecosystem carbon fluxes under moisture stress","https://eo4society.esa.int/projects/vad3mecum-vegetation-and-drought-towards-improved-data-driven-estimated-of-ecosystem-carbon-fluxes-under-moisture-stress/","Gross and net Carbon Flux Estimates_Fluxcom2.0 Carbon","gross-net-carbon-flux-lpf-vad3emecum","Data-driven gross and net carbon flux estimates from machine-learning based on eddy-covariance measurements and space-born measurements, where EO data streams from different sensors and spectral regions are integrated with the specific objective of a more accurate representation of drought effects on carbon fluxes.","http://www.fluxcom.org/CF-Download/","http://www.fluxcom.org/CF-Download/",,,"CO2 flux","2003.01.01","2021.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]",,"Land",,,,,,"Sentinel-5p; SMOS; MeteoSat;  MODIS"
14,"ONGOING","L2A-RUT","https://eo4society.esa.int/projects/l2a-rut/","S2 L2A uncertainty_Surface reflectance estimates_S2","s2l2a-uncertainty-sr-lpf-l2arut","Surface reflectance estimates for the Sentinel 2 mission",,,,,"Earth surface short-wave bidirectional reflectance",,,"Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2022.07.01","Land",,,,,,"Sentinel-2"
15,"COMPLETED","SENTINEL-5P+ INNOVATION SOLAR INDUCED CHLOROPHYLL FLUORESCENCE (SIF)","https://s5p-troposif.noveltis.fr/","Daily ungridded (L2B) SIF and surface reflectance estimates derived from TROPOMI","l2b-sif-surface-reflectance-tropomi-troposif","This dataset provides daily ungridded (L2B) SIF and surface reflectance estimates derived from TROPOMI observations covering the period May 2018-March 2021. SIF data are estimated from two fitting windows: from the 743-758 nm window (baseline product) and from the extended 735-758 nm window (secondary product). The L2B TROPOSIF products are provided in netCDF-4 files.","http://ftp.sron.nl/open-access-data-2/TROPOMI/tropomi/sif/v2.1/l2b/","https://s5p-troposif.noveltis.fr/wp-content/uploads/2021/05/NOV-FE-0956-MU-019_v2.0.pdf",,,"Solar-induced chlorophyll fluorescence (SIF)","2018.01.01","2021.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]",,"Land",,,,,,"Sentinel-5p"
16,"ONGOING","CryoSat Plus For Oceans (CP4O)","https://www.satoc.eu/projects/CP4O/index.html","Low Resolution Mode satellite altimeter product _Open Ocean_Cryosat","lr-satellite-altimeter-open-ocean-cp4o","Low Resolution Mode satellite altimeter product generated from Cryosat data by TU Delft","https://www.satoc.eu/projects/CP4O/data.html",,,,"Sea surface height anomaly","2013.01.01","2013.12.31","Pacific and North Atlantic","[[[-179.6208515315,-0.310754625],[-2.3130615194,-0.310754625],[-2.3130615194,60.0851973468],[-179.6208515315,60.0851973468],[-179.6208515315,-0.310754625]]]","2021.02.15","Oceans","Cryosphere",,,,,CryoSat
17,"ONGOING","BALTIC+ SEAL - Sea Level","http://balticseal.eu/","Baltic Sea Level_Multimission","baltic-sea-level-baltic-seal","Suit of products containing: 1) Reprocessed Along-Track Sea Level Estimations at 20-Hz; 2) Reprocessed monthly sea level grids; 3) Gridded mean sea surface height; 4) Maps of estimated sea level trends, annual cycle and uncertainties","http://balticseal.eu/data-access/",,,,"Coastal sea level (tide)","1995.01.01","2019.12.31","Europe","[[[9.0982681011,53.0247903014],[31.9809728849,53.0247903014],[31.9809728849,67.1748890303],[9.0982681011,67.1748890303],[9.0982681011,53.0247903014]]]","2021.11.02","Oceans",,,,,,TOPEX/Poseidon; ERS-2; Jason-1; Jason-2; ENVISAT; CryoSat-2; SARAL/ALtiKa; Sentinel-3
18,"COMPLETED","Biological Pump and Carbon Exchange Processes","https://bicep-project.org/","Monthly Global Particulate Organic Carbon dataset (4 km, OC-CCI v4.2)","global-particulate-organic-carbon-v4-bicep","The monthly global Particulate Organic Carbon (POC) datasets contain POC concentrations gridded on both sinusoidal (SIN) and geographic (GEO) grid projections at 4 and 9 km spatial resolution for 1997-2020. The POC datasets have been produced using the Ocean Colour Climate Change Initiative Remote Sensing Reflectance (Rrs) products, Version 4.2 and 5. The datasets include the Rrs at 443 nm and 555 nm with pixel-by-pixel uncertainty estimates for each wavelength. For more details on the algorithm and its validation, please see papers by Stramski et al. (2008) and Evers-King et al. (2017). Please note that the validation of the POC algorithm is a continuing process. To increase the accuracy of POC algorithms, further in situ POC data needs to be collected with high spatial and temporal resolution.","https://catalogue.ceda.ac.uk/uuid/299b1bb28eaa440f9a36e9786adfe398","http://dx.doi.org/10.5285/d62f7f801cb54c749d20e736d4a1039f","4.2","http://dx.doi.org/10.5285/299b1bb28eaa440f9a36e9786adfe398","Colour Dissolved Organic Matter (CDOM)","1997.01.01","2020.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2021.10.01","Oceans",,,,,,"Sentinel-3"
19,"ONGOING","Satellite Oceanographic Datasets for Acidification (OceanSODA)","https://esa-oceansoda.org/","Surface-ocean_pCO2_Global_v2021","surface-ocean-pco2-oceansoda","A global gridded data set of the surface ocean carbonate system for seasonal to decadal studies of ocean acidification (v2021). This are the outputs from a full marine carbonate system analysis, calculated from machine learning estimates of total alkalinity (TA) and the partial pressure of carbon dioxide (pCO2). The surface-ocean pCO2 presented here is the ensemble mean of 16 two-step clustering-regression machine learning estimates. The ensemble is a combination of eight clustering instances and two regression methods. For the clustering, we use K-means clustering (21 clusters) repeated with different initiations, resulting in slightly different clusters. Two machine learning regression methods are applied to each of these clustering instances. These machine learning methods are feed-forward neural-network (FFNN), and gradient boosted machine using decision trees (GBDT). The average of the ensemble members is used as the final estimate. Further, the standard deviation of the ensemble members is an analog of the uncertainty. Total alkalinity and pCO2 are then used to solve for the remaining parameters of the marine carbonate system using the PyCO2SYS software (to derive pH and total dissolved inorganic carbon, or DIC). The temperature and salinity products used in this calculation are provided in the file. Phosphate and silicate from the interpolated World Ocean Atlas (2018) product were used. The total scale for pH was used. The product extends from the start of 1985 to the end of 2020.
","https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0220059/",,,"https://doi.org/10.25921/m5wx-ja34","pCO2","1985.01.01","2020.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2021.09.15","Oceans",Land,,,,,"Sentinel-3"
20,"COMPLETED","Earth Observation data For Science and Innovation in the Black Sea","http://www.eo4sibs.uliege.be/","Level 3 Chl-a, 300m daily and monthly","l3-chla-daily-eo4sibs","Switching algorithm: regional version of the OC4 algorithm in clear waters and NN-C2RCC algorithm for turbid waters","http://www.eo4sibs.uliege.be/map/map.php?product=Ocean%20Colour%20(scale%20factor:%200.01)&is_netcdf=1","http://www.eo4sibs.uliege.be/doc/EO4SIBS_DUM_ATBD_OceanColour.pdf",,,"Ocean chlorophyll concentration","2016.04.01","2017.12.31","Black Sea","[[[27.5070842233,40.8729622599],[41.8106211165,40.8729622599],[41.8106211165,47.2684228286],[27.5070842233,47.2684228286],[27.5070842233,40.8729622599]]]","2021.12.31","Oceans",,,,,,"SMOS; Sentinel-2; Sentinel-3; CryoSat-2"
21,"ONGOING","Swarm+ Coupling High-Low Atmosphere Interactions: Ion Outflow","https://swarmoutflow.w.uib.no/","CHAMP and Swarm solar activity- and height-scaled polar cap plasma density measurements","solar-activity-polar-cap-plasma-density-ion-outflow","Solar activity- and height-adjusted plasma density measurements in the polar cap (i.e., above 80° latitude in Modified Apex110 coordinates) from the Swarm and CHAMP satellites. covering the entire CHAMP mission period (2002–2009) and the Swarm mission period from launch through February 2020.","https://zenodo.org/record/3813146#.YaS7fi8w3fY",,,"https://doi.org/10.5281/zenodo.3813146","Ionospheric plasma density","2002.01.01","2020.12.31",,,"2020.05.07","Magnetosphere_Ionosphere",,,,,,"SWARM"
22,"ONGOING","Swarm+ Coupling High-Low Atmosphere Interactions: Ion Outflow","https://swarmoutflow.w.uib.no/","Swarm-EISCAT conjunction list (2013-2019)","swarm-eiscat-conjunction-list-ion-outflow","CSV file with a list of all conjunctions between Swarm A–C and either EISCAT-Svalbard or EISCAT-Tromsø Incoherent Scatter Radar. Conjunctions were identified by NASA’s «Satellite Situation Center Web» Query tool in August 2019.","http://swarmoutflow.w.uib.no/files/2020/05/EISCAT_Svalbard_Tromsoe_conjs_2013-2019.txt",,,,"Geomagnetic field","2013.01.01","2019.12.31",,,"2020.05.07","Magnetosphere_Ionosphere",,,,,,"SWARM"
23,"ONGOING","SWARM+ COUPLING: HIGH-LOW ATMOSPHERE INTERACTIONS: VERtical coupling in Earth's Atmosphere at mid and high latitudes (VERA)","https://www.gfz-potsdam.de/en/section/geomagnetism/projects/archive/vera-vertical-coupling-in-earths-atmosphere-at-mid-and-high-latitudes/#c65013","Sudden Stratospheric Warming (SSW)","sudden-stratospheric-warming-vera","SSW events from 2008 to 2018: Each figure shows, from the top to the bottom, daily values of the Northern Hemisphere polar temperature at 10 hPa (~32 km altitude); daily values of the meridional temperature gradient between 90˚N and 60˚N at 10 hPa; daily values of the zonal mean zonal wind at 60˚N and 10 hPa; daily values of the solar flux index F10.7; and daily sum of the geomagnetic activity index Kp. The occurrence of a sudden stratospheric warming (SSW) can be identified as a rapid increase in the polar temperature (>25 K in a week or less), the reversal of the meridional temperature gradient (T at 90˚N minus T at 60˚N) from negative to positive values, and the reduction or reversal of the zonal mean zonal wind in the stratosphere at 60˚N. An SSW event is called ""major"" when the direction of the zonal mean zonal wind at 60˚N and 10 hPa changes from eastward to westward; otherwise the event is called ""minor"". The ionospheric variability results not only from SSWs but also from solar and magnetospheric sources. The F10.7 index is a proxy for the solar energetic radiation flux into the Earth's upper atmosphere. The Kp index quantifies geomagnetic activity, which is closely related to the activity level of the magnetosphere. Geomagnetic activity is considered to be high when the daily sum of the Kp index is 23 or more.","https://www.gfz-potsdam.de/en/section/geomagnetism/projects/archive/vera-vertical-coupling-in-earths-atmosphere-at-mid-and-high-latitudes/#c65013",,,,"Geomagnetic field","2008.01.01","2018.12.31",,,"2021.04.01","Magnetosphere_Ionosphere",,,,,,"SWARM"
24,"COMPLETED","4DIONOSPHERE (SWARM VIP)","https://www.mn.uio.no/fysikk/english/research/projects/swarm-vip/","Semi-empiric model of ionosphere processes_SWARM","model-ionosphere-4dionosphere","Semi-empiric model and improvement of the forecasting capabilities for extreme space weather events. Swarm-VIP project performs extensive and complex statistical analysis on Swarm electron density, electric and magnetic field data focusing on: 1) the ionospheric climate/weather during quiet geomagnetic conditions; 2) the extreme events such as geomagnetic storms / superstorms and 3) the physics of ionospheric perturbations and small-scale variability. Currently the access to the results is restricted. If you would like to gain access, please contact Lasse Clausen (http://www.mn.uio.no/fysikk/english/people/aca/lbnc/) or Wojciech Miloch (http://www.mn.uio.no/fysikk/english/people/aca/wojciecm/index.html).",,,,,"Ionospheric plasma density",,,,,,"Magnetosphere_Ionosphere",,,,,,"SWARM"
25,"ONGOING","Swarm+ Coupling High-Low Atmosphere Interactions: Ion Outflow","https://swarmoutflow.w.uib.no/","Cluster/Swarm A and C conjunctions","cluster-swarm-ac-conjunctions-ion-outflow","CSV file with a list of all conjunctions between Swarm-Alpha and Cluster-4. Conjunctions were identified by NASA’s «Satellite Situation Center Web» Query tool in Nov 2018.","http://swarmoutflow.w.uib.no/files/2020/05/Cluster4-swarmAConjs-2014-2017_NaNless_noDubs.txt",,,,"Geomagnetic field","2014.01.01","2017.12.31",,,"2020.05.07","Magnetosphere_Ionosphere",,,,,,"SWARM"
26,"ONGOING","Contribution of Swarm data to the prompt detection of Tsunamis and other natural hazards  (COSTO)","http://costo.uwm.edu.pl","ADDTID: An Alternative Tool for Studying Earthquake/Tsunami Signatures in the Ionosphere_Japan_SWARM","addit-earthquake-tsunami-tool-costo","Detection and characterization of Traveling Ionospheric Disturbances (TIDs) from Global Navigation Satellite System (GNSS) measurements using the Atomic Decomposition Detector of Traveling Ionospheric Disturbances (ADDTID) algorithm","https://www.mdpi.com/2072-4292/11/16/1894/htm#app1-remotesensing-11-01894",,,"https://doi.org/10.3390/rs11161894","Ionospheric plasma density","2011.01.01","2011.12.31","Japan","[[[122.71417537,20.21458102],[154.20554098,20.21458102],[154.20554098,45.71120454],[122.71417537,45.71120454],[122.71417537,20.21458102]]]","2019.08.13","Magnetosphere_Ionosphere",,,,,,"SWARM"
27,"ONGOING","The 4D-Earth Swarm project","https://4d-earth-swarm.univ-grenoble-alpes.fr/","Webgeodyn Python package","webgeodyn-py-4d-earth-swarm","Webgeodyn is a Python package that provides web-based visualisations for Gauss coefficients of magnetic field and core flow. It can be installed and run locally on a variety of data formats. The tool is deployed on the website https://geodyn.univ-grenoble-alpes.fr to show visualisations on several magnetic field and core flow models (CHAOS, COV-OBS, pygeodyn results...).","https://gricad-gitlab.univ-grenoble-alpes.fr/Geodynamo/webgeodyn","https://geodynamo.gricad-pages.univ-grenoble-alpes.fr/webgeodyn/index.html","0.10.2",,"Geomagnetic field",,,"Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2021.09.10","Solid Earth","Magnetosphere_Ionosphere",,,,,"SWARM"
28,"ONGOING","The 4D-Earth Swarm project","https://4d-earth-swarm.univ-grenoble-alpes.fr/","Ground Virtual Observatory Data SWARM","ground-virtual-observatory-swarm-4d-earth-swarm","The files provided for each satellite include 1 month and 4 month values for observed field, core field (with estimates of magnetospheric and ionospheric fields removed) and SV (from annual difference of the core field data). Further specific details for this update are given in the associated README files. Contact: cfinlay@space.dtu.dk","http://www.spacecenter.dk/files/magnetic-models/GVO/GVO_data_SWARM.zip","https://doi.org/10.1186/s40623-021-01365-9",,,"Geomagnetic field",,,,,"2021.09.10","Solid Earth","Magnetosphere_Ionosphere",,,,,"SWARM"
29,"ONGOING","3D-Earth","http://www.3dearth.uni-kiel.de/en","Geothermal Heat Flow Database and Map_Greenland_GOCE_SWARM","geothermal-heat-flow-greenland-3d-earth","Greenland Geothermal Heat Flow Database and Map","https://dataverse01.geus.dk/dataset.xhtml?persistentId=doi:10.22008/FK2/F9P03L",,,"https://doi.org/10.22008/FK2/F9P03L","Geothermal energy",,,"Arctic","[[[-178.4105321808,60.6134006095],[178.3660428163,60.6134006095],[178.3660428163,84.2454100786],[-178.4105321808,84.2454100786],[-178.4105321808,60.6134006095]]]","2021.08.26","Solid Earth",,,,,,GOCE; SWARM
30,"ONGOING","GOCE+ ANTARCTICA","http://www.bas.ac.uk/project/goceantarctica/","Density, Temperature, and Viscosity Structure of the Antarctic Lithosphere_Antarctica_GOCE","lithosphere-density-temperature-viscosity-goce-antarctica","Model of crust and upper mantle","https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2019JB017997",,,"https://doi.org/10.1029/2019JB017997","Gravity field","2009.01.01","2013.12.31","Antarctica","[[[-180,-80],[180,-80],[180,-61],[-180,-61],[-180,-80]]]","2019.10.25","Solid Earth","Cryosphere",,,,,"GOCE"
